Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
233752,Defl:X,74593,68%,2024-01-05 19:00,785d1291,pcd/issues/2021/20_0572.htm
237069,Defl:X,73000,69%,2024-01-05 19:00,bcc27330,pcd/issues/2021/20_0573.htm
260249,Defl:X,77585,70%,2024-01-05 19:00,a1f24038,pcd/issues/2021/20_0574.htm
256056,Defl:X,74308,71%,2024-01-05 19:00,77ad812e,pcd/issues/2021/20_0575.htm
229476,Defl:X,69965,70%,2024-01-05 19:00,f077dfbc,pcd/issues/2021/20_0576.htm
254156,Defl:X,78703,69%,2024-01-05 19:00,bd727f4b,pcd/issues/2021/20_0584.htm
259702,Defl:X,77094,70%,2024-01-05 19:00,fe373650,pcd/issues/2021/20_0587.htm
254427,Defl:X,76480,70%,2024-01-05 19:00,9d85a478,pcd/issues/2021/20_0594.htm
247588,Defl:X,76444,69%,2024-01-05 19:00,28658fb7,pcd/issues/2021/20_0596.htm
260938,Defl:X,79063,70%,2024-01-05 19:00,6cdbf7f8,pcd/issues/2021/20_0602.htm
256242,Defl:X,76265,70%,2024-01-05 19:00,fb169c0c,pcd/issues/2021/20_0604.htm
279713,Defl:X,79909,71%,2024-01-05 19:00,cca50487,pcd/issues/2021/20_0605.htm
208648,Defl:X,67943,67%,2024-01-05 19:00,66a69c73,pcd/issues/2021/20_0615.htm
210184,Defl:X,68028,68%,2024-01-05 19:00,4c060ac2,pcd/issues/2021/20_0627.htm
231588,Defl:X,73039,69%,2024-01-05 19:00,17f01464,pcd/issues/2021/20_0628.htm
189518,Defl:X,62009,67%,2024-01-05 19:00,2ad82d53,pcd/issues/2021/20_0628e.htm
207180,Defl:X,67149,68%,2024-01-05 19:00,5afe759d,pcd/issues/2021/20_0647.htm
246396,Defl:X,76853,69%,2024-01-05 19:00,6c321413,pcd/issues/2021/20_0650.htm
259848,Defl:X,79145,70%,2024-01-05 19:00,4a5fc4e7,pcd/issues/2021/20_0656.htm
288793,Defl:X,76319,74%,2024-01-05 19:00,8ac113b5,pcd/issues/2021/2021_TOC.htm
249422,Defl:X,74989,70%,2024-01-05 19:00,16f1bdbe,pcd/issues/2021/21_0006.htm
263674,Defl:X,76984,71%,2024-01-05 19:00,6a8dbc0d,pcd/issues/2021/21_0021.htm
216772,Defl:X,69337,68%,2024-01-05 19:00,14ee5877,pcd/issues/2021/21_0026.htm
256967,Defl:X,80030,69%,2024-01-05 19:00,460fbb62,pcd/issues/2021/21_0027.htm
231141,Defl:X,72237,69%,2024-01-05 19:00,e783df03,pcd/issues/2021/21_0028.htm
249615,Defl:X,78606,69%,2024-01-05 19:00,553d078b,pcd/issues/2021/21_0033.htm
208068,Defl:X,68060,67%,2024-01-05 19:00,400f733e,pcd/issues/2021/21_0035.htm
271813,Defl:X,78807,71%,2024-01-05 19:00,a2af4ad8,pcd/issues/2021/21_0041.htm
244179,Defl:X,75964,69%,2024-01-05 19:00,cd2d2ee3,pcd/issues/2021/21_0055.htm
265907,Defl:X,77697,71%,2024-01-05 19:00,830a5030,pcd/issues/2021/21_0056.htm
261695,Defl:X,77982,70%,2024-01-05 19:00,abedcc78,pcd/issues/2021/21_0058.htm
222705,Defl:X,71571,68%,2024-01-05 19:00,033405ff,pcd/issues/2021/21_0060.htm
258533,Defl:X,78206,70%,2024-01-05 19:00,beea44b6,pcd/issues/2021/21_0062.htm
226784,Defl:X,70378,69%,2024-01-05 19:00,ee30fadb,pcd/issues/2021/21_0073.htm
252775,Defl:X,77630,69%,2024-01-05 19:00,73811552,pcd/issues/2021/21_0080.htm
264145,Defl:X,81752,69%,2024-01-05 19:00,99be6e9a,pcd/issues/2021/21_0084.htm
224500,Defl:X,72840,68%,2024-01-05 19:00,b688873a,pcd/issues/2021/21_0086.htm
243394,Defl:X,74764,69%,2024-01-05 19:00,d57f891e,pcd/issues/2021/21_0091.htm
269324,Defl:X,79803,70%,2024-01-05 19:00,e782080e,pcd/issues/2021/21_0094.htm
291668,Defl:X,81943,72%,2024-01-05 19:00,259f5f19,pcd/issues/2021/21_0123.htm
224266,Defl:X,71257,68%,2024-01-05 19:00,f4c7ba3d,pcd/issues/2021/21_0124.htm
220679,Defl:X,70592,68%,2024-01-05 19:00,29a94446,pcd/issues/2021/21_0127.htm
281571,Defl:X,78453,72%,2024-01-05 19:00,b64e9da3,pcd/issues/2021/21_0130.htm
210450,Defl:X,68020,68%,2024-01-05 19:00,b2a40b35,pcd/issues/2021/21_0143.htm
211651,Defl:X,68326,68%,2024-01-05 19:00,e0bce05a,pcd/issues/2021/21_0159.htm
290771,Defl:X,78827,73%,2024-01-05 19:00,05f3ce9b,pcd/issues/2021/21_0160.htm
275987,Defl:X,79895,71%,2024-01-05 19:00,2690b6e7,pcd/issues/2021/21_0163.htm
259986,Defl:X,78405,70%,2024-01-05 19:00,1e9ea543,pcd/issues/2021/21_0173.htm
288734,Defl:X,81053,72%,2024-01-05 19:00,ab26a399,pcd/issues/2021/21_0175.htm
251578,Defl:X,77251,69%,2024-01-05 19:00,957764d9,pcd/issues/2021/21_0193.htm
235005,Defl:X,71779,70%,2024-01-05 19:00,1d40449c,pcd/issues/2021/21_0194.htm
214541,Defl:X,68164,68%,2024-01-05 19:00,2fde6117,pcd/issues/2021/21_0214.htm
288495,Defl:X,81248,72%,2024-01-05 19:00,5f606568,pcd/issues/2021/21_0221.htm
270140,Defl:X,79668,71%,2024-01-05 19:00,07560d91,pcd/issues/2021/21_0222.htm
217410,Defl:X,69132,68%,2024-01-05 19:00,db16fcb8,pcd/issues/2021/21_0237.htm
272126,Defl:X,79361,71%,2024-01-05 19:00,78fa88cc,pcd/issues/2021/21_0240.htm
263258,Defl:X,82175,69%,2024-01-05 19:00,d333b2b3,pcd/issues/2021/21_0259.htm
264749,Defl:X,78192,71%,2024-01-05 19:00,087fcfaa,pcd/issues/2021/21_0260.htm
247016,Defl:X,76753,69%,2024-01-05 19:00,309ed874,pcd/issues/2021/21_0264.htm
252167,Defl:X,79121,69%,2024-01-05 19:00,ec1334c3,pcd/issues/2021/21_0269.htm
237001,Defl:X,70981,70%,2024-01-05 19:00,fc6a324d,pcd/issues/2021/21_0305.htm
188855,Defl:X,61773,67%,2024-01-05 19:00,3942a918,pcd/issues/2022/20_0202e.htm
276635,Defl:X,74781,73%,2024-01-05 19:00,3373d7d0,pcd/issues/2022/2022_TOC.htm
278211,Defl:X,82748,70%,2024-01-05 19:00,b70e8852,pcd/issues/2022/21_0181.htm
321556,Defl:X,86238,73%,2024-01-05 19:00,dd29defc,pcd/issues/2022/21_0195.htm
239942,Defl:X,73537,69%,2024-01-05 19:00,53a71e80,pcd/issues/2022/21_0211.htm
291960,Defl:X,80744,72%,2024-01-05 19:00,d24f6265,pcd/issues/2022/21_0228.htm
298834,Defl:X,83810,72%,2024-01-05 19:00,5335ff28,pcd/issues/2022/21_0231.htm
284602,Defl:X,80731,72%,2024-01-05 19:00,12fde57e,pcd/issues/2022/21_0255.htm
273861,Defl:X,79188,71%,2024-01-05 19:00,8f66de26,pcd/issues/2022/21_0258.htm
286334,Defl:X,79543,72%,2024-01-05 19:00,f1a9e685,pcd/issues/2022/21_0266.htm
243861,Defl:X,74396,70%,2024-01-05 19:00,ae5e6d66,pcd/issues/2022/21_0270.htm
270167,Defl:X,78019,71%,2024-01-05 19:00,aae06b50,pcd/issues/2022/21_0277.htm
204749,Defl:X,66764,67%,2024-01-05 19:00,d53e25c2,pcd/issues/2022/21_0280.htm
221956,Defl:X,69730,69%,2024-01-05 19:00,084b81fe,pcd/issues/2022/21_0283.htm
279918,Defl:X,79445,72%,2024-01-05 19:00,29a16e82,pcd/issues/2022/21_0298.htm
243376,Defl:X,75375,69%,2024-01-05 19:00,c4b0afaf,pcd/issues/2022/21_0303.htm
314464,Defl:X,86623,73%,2024-01-05 19:00,0b69e10a,pcd/issues/2022/21_0315.htm
276756,Defl:X,80475,71%,2024-01-05 19:00,06ed7445,pcd/issues/2022/21_0324.htm
269370,Defl:X,78542,71%,2024-01-05 19:00,7022cd3a,pcd/issues/2022/21_0332.htm
251450,Defl:X,77408,69%,2024-01-05 19:00,ce7ec64f,pcd/issues/2022/21_0343.htm
238107,Defl:X,71830,70%,2024-01-05 19:00,aa7adad3,pcd/issues/2022/21_0346.htm
212021,Defl:X,69047,67%,2024-01-05 19:00,84ab6019,pcd/issues/2022/21_0347.htm
233857,Defl:X,74491,68%,2024-01-05 19:00,e963ac77,pcd/issues/2022/21_0366.htm
254845,Defl:X,79085,69%,2024-01-05 19:00,9cb8089d,pcd/issues/2022/21_0375.htm
253000,Defl:X,79749,69%,2024-01-05 19:00,bb712a0b,pcd/issues/2022/21_0378.htm
250209,Defl:X,74636,70%,2024-01-05 19:00,c6786e17,pcd/issues/2022/21_0385.htm
